# z  nz0 nz1 nz2 nz3 nz4
8.950000000000000178e-01 -6.460317019826926051e-05 1.557386855681482931e-03 1.577652971042280833e-02 1.424186695756529328e-02 2.118357609675363064e+09
9.050000000000000266e-01 -4.597606950892860314e-05 1.482026399886007123e-03 1.547629484019721717e-02 1.518896567256881013e-02 1.755263914308210373e+09
9.150000000000000355e-01 -9.720063883888833888e-06 1.328415437770643194e-03 1.430611870709350836e-02 1.888964165320924232e-02 1.665395684527251244e+09
9.250000000000000444e-01 6.029904117613319691e-06 1.255394830607374284e-03 1.387803702354758160e-02 1.985399183818373214e-02 2.791018200930747986e+09
9.350000000000000533e-01 1.035750804294443040e-05 1.255635771172076455e-03 1.385011794295583701e-02 1.984904304056508972e-02 2.859039819363207817e+09
9.450000000000000622e-01 1.348402117950928094e-05 1.257255282235645970e-03 1.379251022265075982e-02 1.983821610898843166e-02 2.188847321188732624e+09
9.550000000000000711e-01 1.668378931548199280e-05 1.260288624612398295e-03 1.295443385333854350e-02 1.986301562669389245e-02 2.095286119330467463e+09
9.649999999999999689e-01 3.171848518399830095e-05 1.271276575862194088e-03 9.840840591125330980e-03 2.014673216590202529e-02 2.012469867449903488e+09
9.749999999999999778e-01 4.256316536776711328e-05 1.274212840678259039e-03 8.992802401163893164e-03 2.019186147109883547e-02 1.808558324675060034e+09
9.849999999999999867e-01 4.882477488663665985e-05 1.268464882073231477e-03 8.941562144630679082e-03 2.020560434201592107e-02 1.655905607367986202e+09
9.949999999999999956e-01 5.462463343380202422e-05 1.230039672217773678e-03 8.962654110754596920e-03 2.017480311592030964e-02 1.721459105035388708e+09
1.004999999999999893e+00 3.684656626869216712e-05 1.114895246441055575e-03 7.762792755896526058e-03 1.875458346736411444e-02 1.580407248575376987e+09
1.015000000000000124e+00 -1.770850030054867382e-05 9.104711884884585018e-04 4.160743625171635547e-03 1.244703691505522590e-02 1.131690620908462763e+09
1.024999999999999911e+00 -3.669625361351939536e-05 7.670942832726840212e-04 3.251433237663804189e-03 1.103065891567770601e-02 7.408012789738991261e+08
1.035000000000000142e+00 -3.277608378000623367e-05 7.484885088246942455e-04 3.208031631799747579e-03 1.101596999505965492e-02 6.836000680397188663e+08
1.044999999999999929e+00 -2.723187459882693844e-05 7.398065531608021819e-04 3.172154599450919404e-03 1.100765465502148537e-02 7.648101872543753386e+08
1.055000000000000160e+00 -1.701889288684535798e-05 7.149032574746566355e-04 2.838260193469135245e-03 1.076392650093616066e-02 6.434255833220940828e+08
1.064999999999999947e+00 -4.992694410580949264e-08 6.711792166261404662e-04 1.800479688058347289e-03 9.630588596942823987e-03 5.606170176203137636e+08
1.075000000000000178e+00 8.134801768722127013e-06 6.294215593372223892e-04 1.499348403541183932e-03 9.335889490087741216e-03 6.842999495517083406e+08
1.084999999999999964e+00 1.038744088496859269e-05 6.249305601016753213e-04 1.480566138619806606e-03 9.326264855978176269e-03 8.280554947282513380e+08
1.095000000000000195e+00 1.196683315835920521e-05 6.504782494811505974e-04 1.471387179165384350e-03 9.324638509677284429e-03 8.742715564124999046e+08
1.104999999999999982e+00 1.523048569070604229e-05 7.062460403424302433e-04 1.426351310370013075e-03 9.653399988212086821e-03 8.965550524395253658e+08
1.115000000000000213e+00 2.114131384218242925e-05 7.986753247934731421e-04 1.280685985254157713e-03 1.128185223300524724e-02 8.010597608079113960e+08
1.125000000000000000e+00 2.389187232199403951e-05 8.780439479391092704e-04 1.240218553433412125e-03 1.166464742443183537e-02 6.047739917863045931e+08
1.135000000000000231e+00 2.430605976528689403e-05 8.987829293403303737e-04 1.233125667497015840e-03 1.166205196838448685e-02 5.914505251079324484e+08
1.145000000000000018e+00 2.510082176407790760e-05 8.954161422903456373e-04 1.223286791691931708e-03 1.165169852433968825e-02 7.121161530748664141e+08
1.155000000000000027e+00 3.365499259146723733e-05 8.844591737025879951e-04 1.093660068297388566e-03 1.130644709752661077e-02 7.884307324901131392e+08
1.165000000000000036e+00 5.448698844390728320e-05 8.605463957084456220e-04 7.007611432430151544e-04 9.606177982705311688e-03 7.405750815441293716e+08
1.174999999999999822e+00 6.373223330903462743e-05 8.508210792993645783e-04 5.929931686396710134e-04 9.217971759359441797e-03 5.320272230044839978e+08
1.185000000000000053e+00 6.549696040947330141e-05 8.474974994187123387e-04 5.861537954520965087e-04 9.216409330604429309e-03 4.429237514827448130e+08
1.194999999999999840e+00 6.653673855642561284e-05 8.518401800924434294e-04 5.803187539699057379e-04 9.202347418961422457e-03 5.944492904608047009e+08
1.205000000000000071e+00 6.505992580388478264e-05 8.787655158541157101e-04 5.630795978932980972e-04 9.161948969492265601e-03 7.791409837183364630e+08
1.214999999999999858e+00 6.128961877787674514e-05 9.241938853835270388e-04 5.225707960095979506e-04 8.826043334996688805e-03 6.798760527117052078e+08
1.225000000000000089e+00 5.942628192406277933e-05 9.490745049614324235e-04 5.051105258363837881e-04 8.771227330301943279e-03 4.618041677465057969e+08
1.234999999999999876e+00 6.090811174170870039e-05 9.543991673180778849e-04 4.950929033540714874e-04 8.767386828628154216e-03 4.501784328093782663e+08
1.245000000000000107e+00 6.323501742650366748e-05 9.436010624471658946e-04 4.743942631001939192e-04 8.739548168640098175e-03 5.110357070932744741e+08
1.254999999999999893e+00 6.905263613161197460e-05 8.658942502246812266e-04 4.070399711197850005e-04 8.020136807254408043e-03 6.315171172069590092e+08
1.265000000000000124e+00 7.822280134121167329e-05 6.806115008746165419e-04 2.718649410839240840e-04 5.184582817472310409e-03 5.811740436465245485e+08
1.274999999999999911e+00 8.477553862479424878e-05 6.015969063345276424e-04 2.086277879469949708e-04 4.489613326380276909e-03 3.444480616110765934e+08
1.285000000000000142e+00 8.691973531260140183e-05 5.933891730763182987e-04 1.937974117298800090e-04 4.481630929705983542e-03 2.155553542020248175e+08
1.294999999999999929e+00 8.733218102594852755e-05 5.871244408433127669e-04 1.850201223848323172e-04 4.457797825799309464e-03 1.849257194243175089e+08
1.305000000000000160e+00 7.274894983081598451e-05 5.268828193227273948e-04 1.687778972266400169e-04 4.228395299006089229e-03 1.606541525747963190e+08
1.314999999999999947e+00 3.726562659069458265e-05 3.827779549695476107e-04 1.409150321906329194e-04 3.392301669502870588e-03 1.464917417032529414e+08
1.325000000000000178e+00 2.176766639597685276e-05 3.187367291955540559e-04 1.251627728493857309e-04 3.149333536062875766e-03 1.557847172595980167e+08
1.334999999999999964e+00 2.168451583138569053e-05 3.139164369704507303e-04 1.200017084235842856e-04 3.141461803593093884e-03 1.886939753529112041e+08
1.345000000000000195e+00 2.382635887400072586e-05 3.171539649692352997e-04 1.209389297826560456e-04 3.124717723374356021e-03 2.163810505954468250e+08
1.354999999999999982e+00 3.759345602926909960e-05 3.401478024438181068e-04 1.276800046843560091e-04 3.048231049100413610e-03 2.219913271302949190e+08
1.365000000000000213e+00 6.665031964157910871e-05 3.936149685285726392e-04 1.428974832731373938e-04 2.765906223075413010e-03 2.142782782729376256e+08
1.375000000000000000e+00 7.915763611110484513e-05 4.156470709310609922e-04 1.511784668631109909e-04 2.630036217981585132e-03 1.942525357824224234e+08
1.385000000000000231e+00 8.177271261353910310e-05 4.172090280192207695e-04 1.551814559222738422e-04 2.621893024628011576e-03 1.779693994348738194e+08
1.395000000000000018e+00 8.584695518240274142e-05 4.197603553165278611e-04 1.617709121887002171e-04 2.614046944463350054e-03 1.738570705425587296e+08
1.405000000000000027e+00 1.120235355028193283e-04 4.440429884408689373e-04 1.864077690173346000e-04 2.569782914087657185e-03 1.738261163364745975e+08
1.415000000000000036e+00 1.701097336326961988e-04 5.102668485961385589e-04 2.382210938247020986e-04 2.408702375501170067e-03 1.667079453046873808e+08
1.424999999999999822e+00 1.961384151288335690e-04 5.332549853156525691e-04 2.642432671025639682e-04 2.355098160400761597e-03 1.560169697906764448e+08
